name,path,interpreter,sha256,main_bundle_exec,main_bundle_path,main_bundle_name,main_bundle_identifier,main_bundle_version,main_bundle_short_version_str,bundle_path,bundle_name,bundle_identifier,bundle_version,bundle_short_version_str,homebrew_package_name,homebrew_package_path,homebrew_package_description,homebrew_package_github,homebrew_package_homepage,homebrew_package_latest_stable_version,homebrew_keg_version,cert_sha256,cert_common_name,cert_organization,cert_organizational_unit,cert_valid_from,cert_valid_until
Atom,/Applications/Atom.app/Contents/MacOS,,d49a21b66d9a4252ecdcafd4d418ee3d66fead6c2420b4e4bd5c981d5ecb96f6,1,/Applications/Atom.app,Atom,com.github.atom,1.23.3,1.23.3,,,,,,,,,,,,,91af4e4d1663b48c7ba9a8d426e43a1677b54c41895346728fcae6f4ddaae26b,Developer ID Application: GitHub (VEKTX9H2N7),GitHub,VEKTX9H2N7,2017-06-19 14:00:41 +0000,2022-06-20 14:00:41 +0000
apm,/Applications/Atom.app/Contents/Resources/app/apm/bin,/bin/bash,1a0dbf49922ca961d9de6b201b9b01c3122f021f9aac341c5c81197bece5f6f8,0,/Applications/Atom.app,Atom,com.github.atom,1.23.3,1.23.3,,,,,,,,,,,,,,,,,,
python-interceptor.sh,/Applications/Atom.app/Contents/Resources/app/apm/bin,/bin/bash,bf05ea35f577cfcd530d0ee31936de40034a66417f886d93001590b1a956c235,0,/Applications/Atom.app,Atom,com.github.atom,1.23.3,1.23.3,,,,,,,,,,,,,,,,,,
node,/Applications/Atom.app/Contents/Resources/app/apm/bin,,54f0707a1396703ffa80a1c221803ff3756360014975fb7b93e6036850af8d7f,0,/Applications/Atom.app,Atom,com.github.atom,1.23.3,1.23.3,,,,,,,,,,,,,,,,,,
npm,/Applications/Atom.app/Contents/Resources/app/apm/bin,/bin/bash,fa53f02182ef00182a4ccd6f2553d6951a7bc113dc03471b662e2ef4225b076c,0,/Applications/Atom.app,Atom,com.github.atom,1.23.3,1.23.3,,,,,,,,,,,,,,,,,,
bin.js,/Applications/Atom.app/Contents/Resources/app/apm/node_modules/temp/node_modules/rimraf,/usr/bin/env node,a950a4f39d00ac97e9f33c3b9dd7345293ef67b4529ef2b4748edd1a49d844c1,0,/Applications/Atom.app,Atom,com.github.atom,1.23.3,1.23.3,,,,,,,,,,,,,,,,,,
bin.js,/Applications/Atom.app/Contents/Resources/app/apm/node_modules/rimraf,/usr/bin/env node,6557bc0e1bebd5eedcf1cc7df314c016b6593bcdbf323941c9c5b9ea57e7eedf,0,/Applications/Atom.app,Atom,com.github.atom,1.23.3,1.23.3,,,,,,,,,,,,,,,,,,
ncp,/Applications/Atom.app/Contents/Resources/app/apm/node_modules/ncp/bin,/usr/bin/env node,c7ca0417a675931d7d4f549009af66f25b47ea5a07e6ddcd85efb712afba3178,0,/Applications/Atom.app,Atom,com.github.atom,1.23.3,1.23.3,,,,,,,,,,,,,,,,,,
nopt.js,/Applications/Atom.app/Contents/Resources/app/apm/node_modules/touch/node_modules/nopt/bin,/usr/bin/env node,4f67edd227c07ef2b913c6279c0e5feceeba67bd3d79c8b8def1000dc574bdbb,0,/Applications/Atom.app,Atom,com.github.atom,1.23.3,1.23.3,,,,,,,,,,,,,,,,,,
gen-changelog.sh,/Applications/Atom.app/Contents/Resources/app/apm/node_modules/lockfile,/bin/bash,4129184658f8178c18e7a3628e06ca1a9c10ee0d6fdc095e3c6999677cc26e0f,0,/Applications/Atom.app,Atom,com.github.atom,1.23.3,1.23.3,,,,,,,,,,,,,,,,,,
csonc,/Applications/Atom.app/Contents/Resources/app/apm/node_modules/first-mate/node_modules/season/bin,,882cf613657e05ea7f69ae0b276b0bc353d895583d526c13a94ae7ee5547a017,0,/Applications/Atom.app,Atom,com.github.atom,1.23.3,1.23.3,,,,,,,,,,,,,,,,,,
opener.js,/Applications/Atom.app/Contents/Resources/app/apm/node_modules/opener,/usr/bin/env node,34067fc7065c975d6fc7a138bb9b1a622425a9aa8e7c0b48fc60231c9c68cc36,0,/Applications/Atom.app,Atom,com.github.atom,1.23.3,1.23.3,,,,,,,,,,,,,,,,,,
semver,/Applications/Atom.app/Contents/Resources/app/apm/node_modules/semver/bin,/usr/bin/env node,f8f286386b4b21f30e81271becbe7e41f295e6ee4f072554493d6600170e3901,0,/Applications/Atom.app,Atom,com.github.atom,1.23.3,1.23.3,,,,,,,,,,,,,,,,,,
cli.js,/Applications/Atom.app/Contents/Resources/app/apm/node_modules/window-size,/usr/bin/env node,6304a2ad85a597341545a4ba8608d0bd3a072c0d9cc18a4513df25b6e8ea716a,0,/Applications/Atom.app,Atom,com.github.atom,1.23.3,1.23.3,,,,,,,,,,,,,,,,,,
asar,/Applications/Atom.app/Contents/Resources/app/apm/node_modules/asar/bin,/usr/bin/env node,96056a884489d7df12fce9f772f2d5b4eabd92c14280e93c4c9420c6b64826f4,0,/Applications/Atom.app,Atom,com.github.atom,1.23.3,1.23.3,,,,,,,,,,,,,,,,,,
node-gyp.js,/Applications/Atom.app/Contents/Resources/app/apm/node_modules/node-gyp/bin,/usr/bin/env node,38bb335913fa090228718ae6318bdfe6f442b63648d02331a971bae1ab184c2b,0,/Applications/Atom.app,Atom,com.github.atom,1.23.3,1.23.3,,,,,,,,,,,,,,,,,,
gyp_main.py,/Applications/Atom.app/Contents/Resources/app/apm/node_modules/node-gyp/gyp,/usr/bin/env python,9c275f43ff286916af1242fce5f344964a732b7eb9be043b2c6e794a74d8f102,0,/Applications/Atom.app,Atom,com.github.atom,1.23.3,1.23.3,,,,,,,,,,,,,,,,,,
pretty_sln.py,/Applications/Atom.app/Contents/Resources/app/apm/node_modules/node-gyp/gyp/tools,/usr/bin/env python,21ba6d632cd94f00b1a30363c4ae3b73884540848ed76f93929ed8db0fc52fc7,0,/Applications/Atom.app,Atom,com.github.atom,1.23.3,1.23.3,,,,,,,,,,,,,,,,,,
pretty_vcproj.py,/Applications/Atom.app/Contents/Resources/app/apm/node_modules/node-gyp/gyp/tools,/usr/bin/env python,ac458e636a9afe7a002942743e56b91f62b199b2426fc5a1c54e8ba2a1c856f0,0,/Applications/Atom.app,Atom,com.github.atom,1.23.3,1.23.3,,,,,,,,,,,,,,,,,,
graphviz.py,/Applications/Atom.app/Contents/Resources/app/apm/node_modules/node-gyp/gyp/tools,/usr/bin/env python,6450a9c094454f14b5cf0731a1d84b16f59bdd9e30c3819cedfc1dc11074526e,0,/Applications/Atom.app,Atom,com.github.atom,1.23.3,1.23.3,,,,,,,,,,,,,,,,,,
run-unit-tests.sh,/Applications/Atom.app/Contents/Resources/app/apm/node_modules/node-gyp/gyp/tools/emacs,/bin/sh,ecb8d03579a0a68704fcd398545f27b5db5c7548c9fbe1aace49bfa3044273fa,0,/Applications/Atom.app,Atom,com.github.atom,1.23.3,1.23.3,,,,,,,,,,,,,,,,,,
pretty_gyp.py,/Applications/Atom.app/Contents/Resources/app/apm/node_modules/node-gyp/gyp/tools,/usr/bin/env python,10b1fc506a9e8e5b459eb83374e178abe40a3234343eb5e631506b12ae99176a,0,/Applications/Atom.app,Atom,com.github.atom,1.23.3,1.23.3,,,,,,,,,,,,,,,,,,
common_test.py,/Applications/Atom.app/Contents/Resources/app/apm/node_modules/node-gyp/gyp/pylib/gyp,/usr/bin/env python,fa1075513acd28a7bf8caca2a318836b04a4dba7bc197044be585a607a502a53,0,/Applications/Atom.app,Atom,com.github.atom,1.23.3,1.23.3,,,,,,,,,,,,,,,,,,
win_tool.py,/Applications/Atom.app/Contents/Resources/app/apm/node_modules/node-gyp/gyp/pylib/gyp,/usr/bin/env python,0dc5c0a331c66bcd0692d9175085bf76949400d4f2782adf3e99287768df490c,0,/Applications/Atom.app,Atom,com.github.atom,1.23.3,1.23.3,,,,,,,,,,,,,,,,,,
input_test.py,/Applications/Atom.app/Contents/Resources/app/apm/node_modules/node-gyp/gyp/pylib/gyp,/usr/bin/env python,5ec5c21cb6f4c5b0f7f1636f0c5c282669035c60c01672e83fc1c14204850380,0,/Applications/Atom.app,Atom,com.github.atom,1.23.3,1.23.3,,,,,,,,,,,,,,,,,,
__init__.py,/Applications/Atom.app/Contents/Resources/app/apm/node_modules/node-gyp/gyp/pylib/gyp,/usr/bin/env python,e766168880fd744fb2c0e4401e5e17330bbeaeea71512d3ffded63d96fca33af,0,/Applications/Atom.app,Atom,com.github.atom,1.23.3,1.23.3,,,,,,,,,,,,,,,,,,
flock_tool.py,/Applications/Atom.app/Contents/Resources/app/apm/node_modules/node-gyp/gyp/pylib/gyp,/usr/bin/env python,49a4493329bf711e2a46430cf413eeb2ef0dc2c202fd870511202dfb608c768c,0,/Applications/Atom.app,Atom,com.github.atom,1.23.3,1.23.3,,,,,,,,,,,,,,,,,,
msvs_test.py,/Applications/Atom.app/Contents/Resources/app/apm/node_modules/node-gyp/gyp/pylib/gyp/generator,/usr/bin/env python,bf34f0ac9f3e82448d28e85974761f032f2347ba9522828bf60d3fa57ceb9f70,0,/Applications/Atom.app,Atom,com.github.atom,1.23.3,1.23.3,,,,,,,,,,,,,,,,,,
ninja_test.py,/Applications/Atom.app/Contents/Resources/app/apm/node_modules/node-gyp/gyp/pylib/gyp/generator,/usr/bin/env python,12036a07b800538386a33ab5f55989923823666c8864bb3d5a696adaabe6f919,0,/Applications/Atom.app,Atom,com.github.atom,1.23.3,1.23.3,,,,,,,,,,,,,,,,,,
xcode_test.py,/Applications/Atom.app/Contents/Resources/app/apm/node_modules/node-gyp/gyp/pylib/gyp/generator,/usr/bin/env python,44ac06d531f396d3cad3ee83a01cfa8551bd2baa113b91952774ccc6d8a503b8,0,/Applications/Atom.app,Atom,com.github.atom,1.23.3,1.23.3,,,,,,,,,,,,,,,,,,
MSVSSettings_test.py,/Applications/Atom.app/Contents/Resources/app/apm/node_modules/node-gyp/gyp/pylib/gyp,/usr/bin/env python,462b9d6aeae39da2e6490a7cf974a09888e7ba04f756c76a99e4211bc37c0d21,0,/Applications/Atom.app,Atom,com.github.atom,1.23.3,1.23.3,,,,,,,,,,,,,,,,,,
mac_tool.py,/Applications/Atom.app/Contents/Resources/app/apm/node_modules/node-gyp/gyp/pylib/gyp,/usr/bin/env python,d7d2a34ebed592cb958fe834be7199b69fd1b8f76cf3ced09e57a79a8ecb759c,0,/Applications/Atom.app,Atom,com.github.atom,1.23.3,1.23.3,,,,,,,,,,,,,,,,,,
easy_xml_test.py,/Applications/Atom.app/Contents/Resources/app/apm/node_modules/node-gyp/gyp/pylib/gyp,/usr/bin/env python,4547b951e9062ba067144e3337c8419880aa1d33f11a1c8c0bd8c4fc74b769be,0,/Applications/Atom.app,Atom,com.github.atom,1.23.3,1.23.3,,,,,,,,,,,,,,,,,,
samples,/Applications/Atom.app/Contents/Resources/app/apm/node_modules/node-gyp/gyp/samples,/usr/bin/python,de10453f4d0a1d19e8d4a3338d568480c40903a8c28aaa121742da1e51393aee,0,/Applications/Atom.app,Atom,com.github.atom,1.23.3,1.23.3,,,,,,,,,,,,,,,,,,
gyptest.py,/Applications/Atom.app/Contents/Resources/app/apm/node_modules/node-gyp/gyp,/usr/bin/env python,ff00ec4e467337e3982cded617992343a0d043625b9a8bb366c66c886184a927,0,/Applications/Atom.app,Atom,com.github.atom,1.23.3,1.23.3,,,,,,,,,,,,,,,,,,
setup.py,/Applications/Atom.app/Contents/Resources/app/apm/node_modules/node-gyp/gyp,/usr/bin/env python,188fb71112cf0da8e78c3ec4f9d9e8159f66bf5057dd96a00bf8b15bfabfeb2c,0,/Applications/Atom.app,Atom,com.github.atom,1.23.3,1.23.3,,,,,,,,,,,,,,,,,,
gyp,/Applications/Atom.app/Contents/Resources/app/apm/node_modules/node-gyp/gyp,/bin/sh,38e8b886cf06fe7cec4d89634fd2850891706308e2bbbc0556b3d299bd6a7993,0,/Applications/Atom.app,Atom,com.github.atom,1.23.3,1.23.3,,,,,,,,,,,,,,,,,,
buildbot_run.py,/Applications/Atom.app/Contents/Resources/app/apm/node_modules/node-gyp/gyp/buildbot,/usr/bin/env python,f6696454045cd09461e807fa804788250fefccf8f70b2e882dcef49a9fb64ade,0,/Applications/Atom.app,Atom,com.github.atom,1.23.3,1.23.3,,,,,,,,,,,,,,,,,,
sshpk-conv,/Applications/Atom.app/Contents/Resources/app/apm/node_modules/sshpk/bin,/usr/bin/env node,a82da19cf4508bafee224eb978c5781d9a9457299233bf7bc5726ef30ad81eba,0,/Applications/Atom.app,Atom,com.github.atom,1.23.3,1.23.3,,,,,,,,,,,,,,,,,,
sshpk-verify,/Applications/Atom.app/Contents/Resources/app/apm/node_modules/sshpk/bin,/usr/bin/env node,01016a321e350402d6fadf63cdfa9e33428f2637f93f8c1cbf75ddca66c64927,0,/Applications/Atom.app,Atom,com.github.atom,1.23.3,1.23.3,,,,,,,,,,,,,,,,,,
sshpk-sign,/Applications/Atom.app/Contents/Resources/app/apm/node_modules/sshpk/bin,/usr/bin/env node,312daac89de6236eb325ce241e0b77bcdcd3409cc74252427352e6128681ba39,0,/Applications/Atom.app,Atom,com.github.atom,1.23.3,1.23.3,,,,,,,,,,,,,,,,,,
bin.js,/Applications/Atom.app/Contents/Resources/app/apm/node_modules/mv/node_modules/rimraf,/usr/bin/env node,a950a4f39d00ac97e9f33c3b9dd7345293ef67b4529ef2b4748edd1a49d844c1,0,/Applications/Atom.app,Atom,com.github.atom,1.23.3,1.23.3,,,,,,,,,,,,,,,,,,
ncp,/Applications/Atom.app/Contents/Resources/app/apm/node_modules/mv/node_modules/ncp/bin,/usr/bin/env node,c7ca0417a675931d7d4f549009af66f25b47ea5a07e6ddcd85efb712afba3178,0,/Applications/Atom.app,Atom,com.github.atom,1.23.3,1.23.3,,,,,,,,,,,,,,,,,,
cibuild,/Applications/Atom.app/Contents/Resources/app/apm/node_modules/keytar/script,/bin/bash,4480f30215c5bd7b64ac31c60f05582a6b1d5af283b41ac2d3aec9ae4eb641ce,0,/Applications/Atom.app,Atom,com.github.atom,1.23.3,1.23.3,,,,,,,,,,,,,,,,,,
csonc,/Applications/Atom.app/Contents/Resources/app/apm/node_modules/season/bin,,882cf613657e05ea7f69ae0b276b0bc353d895583d526c13a94ae7ee5547a017,0,/Applications/Atom.app,Atom,com.github.atom,1.23.3,1.23.3,,,,,,,,,,,,,,,,,,
coffee,/Applications/Atom.app/Contents/Resources/app/apm/node_modules/season/node_modules/coffee-script/bin,/usr/bin/env node,7e77c9e5cb1149d0a0ea4de9d1e43de8806e6c0e7cdfa33bc68d7815a08275aa,0,/Applications/Atom.app,Atom,com.github.atom,1.23.3,1.23.3,,,,,,,,,,,,,,,,,,
cake,/Applications/Atom.app/Contents/Resources/app/apm/node_modules/season/node_modules/coffee-script/bin,/usr/bin/env node,7652475379c3a8cf7d5ca065f1dd9a87c0ff4e28a3004c3d5bd03d5e7c221f45,0,/Applications/Atom.app,Atom,com.github.atom,1.23.3,1.23.3,,,,,,,,,,,,,,,,,,
uuid,/Applications/Atom.app/Contents/Resources/app/apm/node_modules/uuid/bin,/usr/bin/env node,5efc04d939f524b208e60f9ea22b8b111bb9a04d338887ede8f381c1942aab1c,0,/Applications/Atom.app,Atom,com.github.atom,1.23.3,1.23.3,,,,,,,,,,,,,,,,,,
coffee,/Applications/Atom.app/Contents/Resources/app/apm/node_modules/coffee-script/bin,/usr/bin/env node,61dcd306d072677bb81c0d84e3161c4c64a8c6a1de08e5803f6cea6df01315ab,0,/Applications/Atom.app,Atom,com.github.atom,1.23.3,1.23.3,,,,,,,,,,,,,,,,,,
