name,path,interpreter,sha256,main_bundle_exec,main_bundle_path,main_bundle_name,main_bundle_identifier,main_bundle_version,main_bundle_short_version_str,bundle_path,bundle_name,bundle_identifier,bundle_version,bundle_short_version_str,homebrew_package_name,homebrew_package_path,homebrew_package_description,homebrew_package_github,homebrew_package_homepage,homebrew_package_latest_stable_version,homebrew_keg_version,cert_sha256,cert_common_name,cert_organization,cert_organizational_unit,cert_valid_from,cert_valid_until
Google Chrome,/Applications/Google Chrome.app/Contents/MacOS,,44c77402e41dd0e3723e8233728fb9974c599e7abc961a61c93582336068508c,1,/Applications/Google Chrome.app,Google Chrome,com.google.Chrome,3282.167,64.0.3282.167,,,,,,,,,,,,,345a8e098bd04794aaeefda8c9ef56a0bf3d3706d67d35bc0e23f11bb3bffce5,"Developer ID Application: Google, Inc. (EQHXZ8M8AV)","Google, Inc.",EQHXZ8M8AV,2017-03-09 21:08:37 +0000,2022-03-10 21:08:37 +0000
Google Chrome Helper,/Applications/Google Chrome.app/Contents/Versions/64.0.3282.140/Google Chrome Helper.app/Contents/MacOS,,85c8079fcf8ba4729018e1773cb5519c377f63902db136006e34131d3f29e27f,0,/Applications/Google Chrome.app,Google Chrome,com.google.Chrome,3282.167,64.0.3282.167,,,,,,,,,,,,,345a8e098bd04794aaeefda8c9ef56a0bf3d3706d67d35bc0e23f11bb3bffce5,"Developer ID Application: Google, Inc. (EQHXZ8M8AV)","Google, Inc.",EQHXZ8M8AV,2017-03-09 21:08:37 +0000,2022-03-10 21:08:37 +0000
keystone_promote_postflight.sh,/Applications/Google Chrome.app/Contents/Versions/64.0.3282.140/Google Chrome Framework.framework/Versions/A/Resources,/bin/bash -p,78e304c7078062f3b20da41a18404f747e776f55bb4f94e6f944c99fce8703d9,0,/Applications/Google Chrome.app,Google Chrome,com.google.Chrome,3282.167,64.0.3282.167,,,,,,,,,,,,,,,,,,
install.sh,/Applications/Google Chrome.app/Contents/Versions/64.0.3282.140/Google Chrome Framework.framework/Versions/A/Resources,/bin/bash -p,7e9425061f96114ff9075268063aa92b48846d89f476eeda5cd0dd106538a2c0,0,/Applications/Google Chrome.app,Google Chrome,com.google.Chrome,3282.167,64.0.3282.167,,,,,,,,,,,,,,,,,,
app_mode_loader,/Applications/Google Chrome.app/Contents/Versions/64.0.3282.140/Google Chrome Framework.framework/Versions/A/Resources/app_mode_loader.app/Contents/MacOS,,bf2eb53e24666fbdb31e4640edc55e011029e0368174609eecd0050b42576121,0,/Applications/Google Chrome.app,Google Chrome,com.google.Chrome,3282.167,64.0.3282.167,,,,,,,,,,,,,345a8e098bd04794aaeefda8c9ef56a0bf3d3706d67d35bc0e23f11bb3bffce5,"Developer ID Application: Google, Inc. (EQHXZ8M8AV)","Google, Inc.",EQHXZ8M8AV,2017-03-09 21:08:37 +0000,2022-03-10 21:08:37 +0000
keystone_promote_preflight.sh,/Applications/Google Chrome.app/Contents/Versions/64.0.3282.140/Google Chrome Framework.framework/Versions/A/Resources,/bin/bash -p,19de5dd790efe55479c2b7bfc179efc4c8faeb5022ca7bd99384e5fa6f1bc399,0,/Applications/Google Chrome.app,Google Chrome,com.google.Chrome,3282.167,64.0.3282.167,,,,,,,,,,,,,,,,,,
AlertNotificationService,/Applications/Google Chrome.app/Contents/Versions/64.0.3282.140/Google Chrome Framework.framework/Versions/A/XPCServices/AlertNotificationService.xpc/Contents/MacOS,,a334e526e9201e877523e63576c891af4998dab77e7ce332dc23c8e0b4e0f457,0,/Applications/Google Chrome.app,Google Chrome,com.google.Chrome,3282.167,64.0.3282.167,,,,,,,,,,,,,345a8e098bd04794aaeefda8c9ef56a0bf3d3706d67d35bc0e23f11bb3bffce5,"Developer ID Application: Google, Inc. (EQHXZ8M8AV)","Google, Inc.",EQHXZ8M8AV,2017-03-09 21:08:37 +0000,2022-03-10 21:08:37 +0000
ksinstall,/Applications/Google Chrome.app/Contents/Versions/64.0.3282.140/Google Chrome Framework.framework/Versions/A/Frameworks/KeystoneRegistration.framework/Resources,,7e7eb4327de336fb47713422e8e11750afddc77c59f356054fd7198f82f77cc8,0,/Applications/Google Chrome.app,Google Chrome,com.google.Chrome,3282.167,64.0.3282.167,,,,,,,,,,,,,33b9aee3b089c922952c9240a40a0daa271bebf192cf3f7d964722e8f2170e48,"Developer ID Application: Google, Inc. (EQHXZ8M8AV)","Google, Inc.",EQHXZ8M8AV,2014-07-30 21:00:50 +0000,2019-07-31 21:00:50 +0000
crashpad_handler,/Applications/Google Chrome.app/Contents/Versions/64.0.3282.140/Google Chrome Framework.framework/Versions/A/Helpers,,368531f0371738dc33f2e730569b65a7157f2ebe81ee9a0bc75776d3fc2fbed4,0,/Applications/Google Chrome.app,Google Chrome,com.google.Chrome,3282.167,64.0.3282.167,,,,,,,,,,,,,345a8e098bd04794aaeefda8c9ef56a0bf3d3706d67d35bc0e23f11bb3bffce5,"Developer ID Application: Google, Inc. (EQHXZ8M8AV)","Google, Inc.",EQHXZ8M8AV,2017-03-09 21:08:37 +0000,2022-03-10 21:08:37 +0000
Google Chrome Helper,/Applications/Google Chrome.app/Contents/Versions/64.0.3282.167/Google Chrome Helper.app/Contents/MacOS,,a29995f64c712c9611e6d045aff41063821564beb644a601ddd5d288587ceb3c,0,/Applications/Google Chrome.app,Google Chrome,com.google.Chrome,3282.167,64.0.3282.167,,,,,,,,,,,,,345a8e098bd04794aaeefda8c9ef56a0bf3d3706d67d35bc0e23f11bb3bffce5,"Developer ID Application: Google, Inc. (EQHXZ8M8AV)","Google, Inc.",EQHXZ8M8AV,2017-03-09 21:08:37 +0000,2022-03-10 21:08:37 +0000
