name,path,interpreter,sha256,main_bundle_exec,main_bundle_path,main_bundle_name,main_bundle_identifier,main_bundle_version,main_bundle_short_version_str,bundle_path,bundle_name,bundle_identifier,bundle_version,bundle_short_version_str,homebrew_package_name,homebrew_package_path,homebrew_package_description,homebrew_package_github,homebrew_package_homepage,homebrew_package_latest_stable_version,homebrew_keg_version,cert_sha256,cert_common_name,cert_organization,cert_organizational_unit,cert_valid_from,cert_valid_until
Xcode,/Applications/Xcode.app/Contents/MacOS,,e6ff8c2b9655a1bdeba294fc57fa222d288b07212b9a1e42db141bfd4f1172a4,1,/Applications/Xcode.app,Xcode,com.apple.dt.Xcode,13772,9.2,,,,,,,,,,,,,61977d6006459c4cefe9b988a453589946224957bfc07b262cd7ca1b7a61e04e,Apple Mac OS Application Signing,Apple Inc.,,2016-01-07 07:10:02 +0000,2023-02-07 00:00:00 +0000
BuildStrings,/Applications/Xcode.app/Contents/Developer/usr/bin,,f6b4724f06f93fe31a4f0af227417f6837ef29c2910f28d90d1cdf75b00fcc81,0,/Applications/Xcode.app,Xcode,com.apple.dt.Xcode,13772,9.2,,,,,,,,,,,,,2aa4b9973b7ba07add447ee4da8b5337c3ee2c3a991911e80e7282e8a751fc32,Software Signing,Apple Inc.,Apple Software,2013-04-12 22:34:35 +0000,2021-04-12 22:34:35 +0000
xml2man,/Applications/Xcode.app/Contents/Developer/usr/bin,,096bb426df923bb70e93cb29c50516f6791678d77600d375f06ec3f83a2f3a26,0,/Applications/Xcode.app,Xcode,com.apple.dt.Xcode,13772,9.2,,,,,,,,,,,,,2aa4b9973b7ba07add447ee4da8b5337c3ee2c3a991911e80e7282e8a751fc32,Software Signing,Apple Inc.,Apple Software,2013-04-12 22:34:35 +0000,2021-04-12 22:34:35 +0000
iprofiler,/Applications/Xcode.app/Contents/Developer/usr/bin,,f10a3d27296f4dd2176f4ebb373221468175c45866822f5f8999336eef03e405,0,/Applications/Xcode.app,Xcode,com.apple.dt.Xcode,13772,9.2,,iprofiler,com.apple.dt.iprofiler,,9.2,,,,,,,,2aa4b9973b7ba07add447ee4da8b5337c3ee2c3a991911e80e7282e8a751fc32,Software Signing,Apple Inc.,Apple Software,2013-04-12 22:34:35 +0000,2021-04-12 22:34:35 +0000
svn,/Applications/Xcode.app/Contents/Developer/usr/bin,,c2b49548b089b8a568ae6f35f092eb692b8d86bc417277fdda79ab0372113786,0,/Applications/Xcode.app,Xcode,com.apple.dt.Xcode,13772,9.2,,,,,,,,,,,,,2aa4b9973b7ba07add447ee4da8b5337c3ee2c3a991911e80e7282e8a751fc32,Software Signing,Apple Inc.,Apple Software,2013-04-12 22:34:35 +0000,2021-04-12 22:34:35 +0000
Rez,/Applications/Xcode.app/Contents/Developer/usr/bin,,b557d3c91fe4888a2ee800d5e5846b9efd91323c10a3bd312f4dd24c502aa8ba,0,/Applications/Xcode.app,Xcode,com.apple.dt.Xcode,13772,9.2,,,,,,,,,,,,,2aa4b9973b7ba07add447ee4da8b5337c3ee2c3a991911e80e7282e8a751fc32,Software Signing,Apple Inc.,Apple Software,2013-04-12 22:34:35 +0000,2021-04-12 22:34:35 +0000
ictool,/Applications/Xcode.app/Contents/Developer/usr/bin,,a0ac239a6d10bac1fbf362d60e19cd69e38359b7165547ef52b0fae2c25af46d,0,/Applications/Xcode.app,Xcode,com.apple.dt.Xcode,13772,9.2,,,,,,,,,,,,,2aa4b9973b7ba07add447ee4da8b5337c3ee2c3a991911e80e7282e8a751fc32,Software Signing,Apple Inc.,Apple Software,2013-04-12 22:34:35 +0000,2021-04-12 22:34:35 +0000
svnserve,/Applications/Xcode.app/Contents/Developer/usr/bin,,6fe2c21785bfb4e600abe221bbaf4918006502629cde4b015c757604f079d7c9,0,/Applications/Xcode.app,Xcode,com.apple.dt.Xcode,13772,9.2,,,,,,,,,,,,,2aa4b9973b7ba07add447ee4da8b5337c3ee2c3a991911e80e7282e8a751fc32,Software Signing,Apple Inc.,Apple Software,2013-04-12 22:34:35 +0000,2021-04-12 22:34:35 +0000
bitcode-build-tool,/Applications/Xcode.app/Contents/Developer/usr/bin,/usr/bin/env python -B,b6743a307a8cbdb86ba69d727aa8e43b97f7a2462e479726b2d84b5d28d8c457,0,/Applications/Xcode.app,Xcode,com.apple.dt.Xcode,13772,9.2,,,,,,,,,,,,,,,,,,
ibtool,/Applications/Xcode.app/Contents/Developer/usr/bin,,3864dfb08829a0ecb164642f07356eb8e07a0c15cc167d4d7a7298970ae55dbb,0,/Applications/Xcode.app,Xcode,com.apple.dt.Xcode,13772,9.2,,,,,,,,,,,,,2aa4b9973b7ba07add447ee4da8b5337c3ee2c3a991911e80e7282e8a751fc32,Software Signing,Apple Inc.,Apple Software,2013-04-12 22:34:35 +0000,2021-04-12 22:34:35 +0000
xcsgenerator,/Applications/Xcode.app/Contents/Developer/usr/bin,,3b51cc5632c58f4ad0cd930c571ce301a009d9768d3403be8f1949cfb832d7af,0,/Applications/Xcode.app,Xcode,com.apple.dt.Xcode,13772,9.2,,,,,,,,,,,,,2aa4b9973b7ba07add447ee4da8b5337c3ee2c3a991911e80e7282e8a751fc32,Software Signing,Apple Inc.,Apple Software,2013-04-12 22:34:35 +0000,2021-04-12 22:34:35 +0000
docsetutil,/Applications/Xcode.app/Contents/Developer/usr/bin,,53a83c835a9e9ccb47f48206dd7ae75b7ed9bc323e10c412c086fda29ff61544,0,/Applications/Xcode.app,Xcode,com.apple.dt.Xcode,13772,9.2,,,,,,,,,,,,,2aa4b9973b7ba07add447ee4da8b5337c3ee2c3a991911e80e7282e8a751fc32,Software Signing,Apple Inc.,Apple Software,2013-04-12 22:34:35 +0000,2021-04-12 22:34:35 +0000
desdp,/Applications/Xcode.app/Contents/Developer/usr/bin,,b7bc04ada4a888046dfe4868de40ed2be6a1ac68182c2cc272e3378e72a68ec0,0,/Applications/Xcode.app,Xcode,com.apple.dt.Xcode,13772,9.2,,,,,,,,,,,,,2aa4b9973b7ba07add447ee4da8b5337c3ee2c3a991911e80e7282e8a751fc32,Software Signing,Apple Inc.,Apple Software,2013-04-12 22:34:35 +0000,2021-04-12 22:34:35 +0000
xcscontrol,/Applications/Xcode.app/Contents/Developer/usr/bin,,bdf533c91801468de6cbe451aa64b04dce9255216275cc62c47552dca067d0d6,0,/Applications/Xcode.app,Xcode,com.apple.dt.Xcode,13772,9.2,,,,,,,,,,,,,2aa4b9973b7ba07add447ee4da8b5337c3ee2c3a991911e80e7282e8a751fc32,Software Signing,Apple Inc.,Apple Software,2013-04-12 22:34:35 +0000,2021-04-12 22:34:35 +0000
ImageUnitAnalyzer,/Applications/Xcode.app/Contents/Developer/usr/bin,,a8fcb4c8edf24e47ea78c47681b5518c6c6b558c659858fc73e9fc3ee7865eb8,0,/Applications/Xcode.app,Xcode,com.apple.dt.Xcode,13772,9.2,,,,,,,,,,,,,2aa4b9973b7ba07add447ee4da8b5337c3ee2c3a991911e80e7282e8a751fc32,Software Signing,Apple Inc.,Apple Software,2013-04-12 22:34:35 +0000,2021-04-12 22:34:35 +0000
xcdiagnose,/Applications/Xcode.app/Contents/Developer/usr/bin,,0fefc306d44bb07b3ed9b688c056f917fd9c6ab72d642913956934bf11407159,0,/Applications/Xcode.app,Xcode,com.apple.dt.Xcode,13772,9.2,,,,,,,,,,,,,2aa4b9973b7ba07add447ee4da8b5337c3ee2c3a991911e80e7282e8a751fc32,Software Signing,Apple Inc.,Apple Software,2013-04-12 22:34:35 +0000,2021-04-12 22:34:35 +0000
xcsreciperunner,/Applications/Xcode.app/Contents/Developer/usr/bin,,ad0568263424c62368bd95dce3f87f6ac95d23f173642360e6a00ad8e20708a1,0,/Applications/Xcode.app,Xcode,com.apple.dt.Xcode,13772,9.2,,,,,,,,,,,,,2aa4b9973b7ba07add447ee4da8b5337c3ee2c3a991911e80e7282e8a751fc32,Software Signing,Apple Inc.,Apple Software,2013-04-12 22:34:35 +0000,2021-04-12 22:34:35 +0000
momc,/Applications/Xcode.app/Contents/Developer/usr/bin,,3e8b644ba27cf785f616a39464198b726d1e207fa3c45bb03e2201126ab16090,0,/Applications/Xcode.app,Xcode,com.apple.dt.Xcode,13772,9.2,,,,,,,,,,,,,2aa4b9973b7ba07add447ee4da8b5337c3ee2c3a991911e80e7282e8a751fc32,Software Signing,Apple Inc.,Apple Software,2013-04-12 22:34:35 +0000,2021-04-12 22:34:35 +0000
