name,path,interpreter,sha256,main_bundle_exec,main_bundle_path,main_bundle_name,main_bundle_identifier,main_bundle_version,main_bundle_short_version_str,bundle_path,bundle_name,bundle_identifier,bundle_version,bundle_short_version_str,homebrew_package_name,homebrew_package_path,homebrew_package_description,homebrew_package_github,homebrew_package_homepage,homebrew_package_latest_stable_version,homebrew_keg_version,cert_sha256,cert_common_name,cert_organization,cert_organizational_unit,cert_valid_from,cert_valid_until
,,,,1,,,,,,,,,,,,,,,,,,,,,,,
unpack200,/Library/Internet Plug-Ins/JavaAppletPlugin.plugin/Contents/Home/bin,,cdc164f6ea631d6f8548c3271297e4b8fcf1997b5bee3d476f83f7645df3c20d,0,,,,,,,,,,,,,,,,,,359222959dbdf6454687f66b49cc4d46d8d9d605c144901a6ae6e7807aba7a7d,"Developer ID Application: Oracle America, Inc. (VB5E2TV963)","Oracle America, Inc.",VB5E2TV963,2017-06-03 09:19:36 +0000,2022-06-04 09:19:36 +0000
appletviewer,/Library/Internet Plug-Ins/JavaAppletPlugin.plugin/Contents/Home/bin,,a158a7d2736df860cb8039239bf2f651c41ef95a6e53f4fd0e1a621476da0f5d,0,,,,,,,,net.java.openjdk.cmd,1.0,1.0,,,,,,,,359222959dbdf6454687f66b49cc4d46d8d9d605c144901a6ae6e7807aba7a7d,"Developer ID Application: Oracle America, Inc. (VB5E2TV963)","Oracle America, Inc.",VB5E2TV963,2017-06-03 09:19:36 +0000,2022-06-04 09:19:36 +0000
idlj,/Library/Internet Plug-Ins/JavaAppletPlugin.plugin/Contents/Home/bin,,6e8a4ca0a6f4d5eb8ca4108e19aa1be84493ad26341813e61a52dbe405a06367,0,,,,,,,,net.java.openjdk.cmd,1.0,1.0,,,,,,,,359222959dbdf6454687f66b49cc4d46d8d9d605c144901a6ae6e7807aba7a7d,"Developer ID Application: Oracle America, Inc. (VB5E2TV963)","Oracle America, Inc.",VB5E2TV963,2017-06-03 09:19:36 +0000,2022-06-04 09:19:36 +0000
rmid,/Library/Internet Plug-Ins/JavaAppletPlugin.plugin/Contents/Home/bin,,b387d4ae8f575dd0e112d1a061037323ecb62d44668cd9b1429508e3e146b8b3,0,,,,,,,,net.java.openjdk.cmd,1.0,1.0,,,,,,,,359222959dbdf6454687f66b49cc4d46d8d9d605c144901a6ae6e7807aba7a7d,"Developer ID Application: Oracle America, Inc. (VB5E2TV963)","Oracle America, Inc.",VB5E2TV963,2017-06-03 09:19:36 +0000,2022-06-04 09:19:36 +0000
rmiregistry,/Library/Internet Plug-Ins/JavaAppletPlugin.plugin/Contents/Home/bin,,9837957fc8af6a20c654b434341f2789f4f495ac39348c4023f7b82460544b02,0,,,,,,,,net.java.openjdk.cmd,1.0,1.0,,,,,,,,359222959dbdf6454687f66b49cc4d46d8d9d605c144901a6ae6e7807aba7a7d,"Developer ID Application: Oracle America, Inc. (VB5E2TV963)","Oracle America, Inc.",VB5E2TV963,2017-06-03 09:19:36 +0000,2022-06-04 09:19:36 +0000
jrunscript,/Library/Internet Plug-Ins/JavaAppletPlugin.plugin/Contents/Home/bin,,940e4a0a3c16d0e0a4cd826f958a26bc7b85611d13804eecca8bc640a65d2b5f,0,,,,,,,,net.java.openjdk.cmd,1.0,1.0,,,,,,,,359222959dbdf6454687f66b49cc4d46d8d9d605c144901a6ae6e7807aba7a7d,"Developer ID Application: Oracle America, Inc. (VB5E2TV963)","Oracle America, Inc.",VB5E2TV963,2017-06-03 09:19:36 +0000,2022-06-04 09:19:36 +0000
java,/Library/Internet Plug-Ins/JavaAppletPlugin.plugin/Contents/Home/bin,,c47b724b24b65301166283cc0c636f00e7f2f223b7ad6b4ae8f7332698a37fb0,0,,,,,,,,net.java.openjdk.cmd,1.0,1.0,,,,,,,,359222959dbdf6454687f66b49cc4d46d8d9d605c144901a6ae6e7807aba7a7d,"Developer ID Application: Oracle America, Inc. (VB5E2TV963)","Oracle America, Inc.",VB5E2TV963,2017-06-03 09:19:36 +0000,2022-06-04 09:19:36 +0000
jweblauncher,/Library/Internet Plug-Ins/JavaAppletPlugin.plugin/Contents/Home/bin,,6961251adda4d9317f37d8b6fa7046cd061b2d2946dc428f3b40432b72fa62a9,0,,,,,,,,,,,,,,,,,,359222959dbdf6454687f66b49cc4d46d8d9d605c144901a6ae6e7807aba7a7d,"Developer ID Application: Oracle America, Inc. (VB5E2TV963)","Oracle America, Inc.",VB5E2TV963,2017-06-03 09:19:36 +0000,2022-06-04 09:19:36 +0000
javaws,/Library/Internet Plug-Ins/JavaAppletPlugin.plugin/Contents/Home/bin,,d473aefd5690447149de80e40e29ee1325c092160a8555a44562807a9c52a935,0,,,,,,,,,,,,,,,,,,359222959dbdf6454687f66b49cc4d46d8d9d605c144901a6ae6e7807aba7a7d,"Developer ID Application: Oracle America, Inc. (VB5E2TV963)","Oracle America, Inc.",VB5E2TV963,2017-06-03 09:19:36 +0000,2022-06-04 09:19:36 +0000
