name,path,interpreter,sha256,main_bundle_exec,main_bundle_path,main_bundle_name,main_bundle_identifier,main_bundle_version,main_bundle_short_version_str,bundle_path,bundle_name,bundle_identifier,bundle_version,bundle_short_version_str,homebrew_package_name,homebrew_package_path,homebrew_package_description,homebrew_package_github,homebrew_package_homepage,homebrew_package_latest_stable_version,homebrew_keg_version,cert_sha256,cert_common_name,cert_organization,cert_organizational_unit,cert_valid_from,cert_valid_until
c_rehash,/usr/local/Cellar/openssl/1.0.2n/bin,/usr/bin/perl,a32dc10850e9a99534c3ad38470e1da18a0cf8747fb501a7311d0ed7c5021dd4,0,,,,,,,,,,,openssl,/usr/local/Cellar/openssl,SSL/TLS cryptography library,,https://openssl.org/,1.0.2n,1.0.2n,,,,,,
openssl,/usr/local/Cellar/openssl/1.0.2n/bin,,4108c9303f4a786d823f8b7ef2613cd22ff81e0178ba50b5e5930d387d6cd195,0,,,,,,,,,,,openssl,/usr/local/Cellar/openssl,SSL/TLS cryptography library,,https://openssl.org/,1.0.2n,1.0.2n,,,,,,
c_hash,/usr/local/Cellar/openssl/1.0.2n/.bottle/etc/openssl/misc,/bin/sh,ad7354e44d8b30fbf151691dff0032d3d4c9aa622b264ccf5760d6495eeeaaa4,0,,,,,,,,,,,openssl,/usr/local/Cellar/openssl,SSL/TLS cryptography library,,https://openssl.org/,1.0.2n,1.0.2n,,,,,,
CA.sh,/usr/local/Cellar/openssl/1.0.2n/.bottle/etc/openssl/misc,/bin/sh,e3498565c807f32574f11b10a29afa7462fb556b09de77d9bd631ec24b6ebba8,0,,,,,,,,,,,openssl,/usr/local/Cellar/openssl,SSL/TLS cryptography library,,https://openssl.org/,1.0.2n,1.0.2n,,,,,,
tsget,/usr/local/Cellar/openssl/1.0.2n/.bottle/etc/openssl/misc,/usr/bin/perl -w,28170ba4dc94d354cc7cfc7aae9f8efa66ec348a505f9b8e45ed6a3a198197fe,0,,,,,,,,,,,openssl,/usr/local/Cellar/openssl,SSL/TLS cryptography library,,https://openssl.org/,1.0.2n,1.0.2n,,,,,,
c_info,/usr/local/Cellar/openssl/1.0.2n/.bottle/etc/openssl/misc,/bin/sh,82117236e134a04bf3d1cdaec8b8e3d2fef69e1badb4335e3fc948166ac77a8d,0,,,,,,,,,,,openssl,/usr/local/Cellar/openssl,SSL/TLS cryptography library,,https://openssl.org/,1.0.2n,1.0.2n,,,,,,
c_issuer,/usr/local/Cellar/openssl/1.0.2n/.bottle/etc/openssl/misc,/bin/sh,edf51769d41ad6ace7e5d885aed7a22c5d5abafbe8ee26e94bd2850492c1d727,0,,,,,,,,,,,openssl,/usr/local/Cellar/openssl,SSL/TLS cryptography library,,https://openssl.org/,1.0.2n,1.0.2n,,,,,,
CA.pl,/usr/local/Cellar/openssl/1.0.2n/.bottle/etc/openssl/misc,/usr/bin/perl,91a1ad055ada547b9aaa924c86f505809c691f3d80fb28ed9829c75c94c0acde,0,,,,,,,,,,,openssl,/usr/local/Cellar/openssl,SSL/TLS cryptography library,,https://openssl.org/,1.0.2n,1.0.2n,,,,,,
c_name,/usr/local/Cellar/openssl/1.0.2n/.bottle/etc/openssl/misc,/bin/sh,9f6b9e3ffb35358503bbdb87d11d7f7e051a22a001978b45419c06df008608de,0,,,,,,,,,,,openssl,/usr/local/Cellar/openssl,SSL/TLS cryptography library,,https://openssl.org/,1.0.2n,1.0.2n,,,,,,
c_rehash,/usr/local/Cellar/openssl/1.0.2l/bin,/usr/bin/perl,120b056fb91c92c227c249a1ab08d1d748702bb517183d9a0aae491624b57ec0,0,,,,,,,,,,,openssl,/usr/local/Cellar/openssl,SSL/TLS cryptography library,,https://openssl.org/,1.0.2n,1.0.2l,,,,,,
openssl,/usr/local/Cellar/openssl/1.0.2l/bin,,413fbdc119128513974872a1e208fb35044163281ee8b94f9695706ca0c59e89,0,,,,,,,,,,,openssl,/usr/local/Cellar/openssl,SSL/TLS cryptography library,,https://openssl.org/,1.0.2n,1.0.2l,,,,,,
c_hash,/usr/local/Cellar/openssl/1.0.2l/.bottle/etc/openssl/misc,/bin/sh,ad7354e44d8b30fbf151691dff0032d3d4c9aa622b264ccf5760d6495eeeaaa4,0,,,,,,,,,,,openssl,/usr/local/Cellar/openssl,SSL/TLS cryptography library,,https://openssl.org/,1.0.2n,1.0.2l,,,,,,
CA.sh,/usr/local/Cellar/openssl/1.0.2l/.bottle/etc/openssl/misc,/bin/sh,e3498565c807f32574f11b10a29afa7462fb556b09de77d9bd631ec24b6ebba8,0,,,,,,,,,,,openssl,/usr/local/Cellar/openssl,SSL/TLS cryptography library,,https://openssl.org/,1.0.2n,1.0.2l,,,,,,
tsget,/usr/local/Cellar/openssl/1.0.2l/.bottle/etc/openssl/misc,/usr/bin/perl -w,eeb39d9e6c27f76b654d0c8eda2f534bfb40ff34175cb351a71b2ffe29b66937,0,,,,,,,,,,,openssl,/usr/local/Cellar/openssl,SSL/TLS cryptography library,,https://openssl.org/,1.0.2n,1.0.2l,,,,,,
c_info,/usr/local/Cellar/openssl/1.0.2l/.bottle/etc/openssl/misc,/bin/sh,82117236e134a04bf3d1cdaec8b8e3d2fef69e1badb4335e3fc948166ac77a8d,0,,,,,,,,,,,openssl,/usr/local/Cellar/openssl,SSL/TLS cryptography library,,https://openssl.org/,1.0.2n,1.0.2l,,,,,,
c_issuer,/usr/local/Cellar/openssl/1.0.2l/.bottle/etc/openssl/misc,/bin/sh,edf51769d41ad6ace7e5d885aed7a22c5d5abafbe8ee26e94bd2850492c1d727,0,,,,,,,,,,,openssl,/usr/local/Cellar/openssl,SSL/TLS cryptography library,,https://openssl.org/,1.0.2n,1.0.2l,,,,,,
CA.pl,/usr/local/Cellar/openssl/1.0.2l/.bottle/etc/openssl/misc,/usr/bin/perl,91a1ad055ada547b9aaa924c86f505809c691f3d80fb28ed9829c75c94c0acde,0,,,,,,,,,,,openssl,/usr/local/Cellar/openssl,SSL/TLS cryptography library,,https://openssl.org/,1.0.2n,1.0.2l,,,,,,
c_name,/usr/local/Cellar/openssl/1.0.2l/.bottle/etc/openssl/misc,/bin/sh,9f6b9e3ffb35358503bbdb87d11d7f7e051a22a001978b45419c06df008608de,0,,,,,,,,,,,openssl,/usr/local/Cellar/openssl,SSL/TLS cryptography library,,https://openssl.org/,1.0.2n,1.0.2l,,,,,,
